StudentID,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
S140,M,Jordan,USA,MiddleSchool,G-07,A,CS,F,Mum,100,85,85,70,No,Bad,Under-7,M
S141,M,Tunis,Tunis,MiddleSchool,G-07,A,CS,F,Father,10,60,5,20,Yes,Bad,Above-7,L
S142,M,Tunis,Tunis,MiddleSchool,G-07,A,CS,S,Father,19,65,50,10,No,Bad,Above-7,L
S143,M,Tunis,Tunis,MiddleSchool,G-07,A,CS,S,Father,10,75,55,11,Yes,Good,Under-7,M
S144,M,KW,KuwaIT,MiddleSchool,G-07,A,CS,S,Father,80,90,55,19,Yes,Good,Under-7,H
S145,M,KW,KuwaIT,MiddleSchool,G-07,A,CS,S,Father,10,10,15,19,No,Bad,Above-7,L
S146,M,Tunis,SaudiArabia,MiddleSchool,G-07,A,CS,S,Father,70,75,55,11,Yes,Bad,Under-7,M
S147,F,lebanon,lebanon,MiddleSchool,G-07,A,CS,S,Mum,100,75,50,70,Yes,Good,Under-7,H
S148,F,lebanon,lebanon,MiddleSchool,G-07,A,CS,S,Father,10,79,30,30,No,Bad,Under-7,M
S149,F,Jordan,Jordan,MiddleSchool,G-07,A,CS,S,Father,60,55,30,40,No,Bad,Under-7,M
S150,F,Jordan,lebanon,MiddleSchool,G-07,A,CS,S,Mum,100,75,50,70,Yes,Bad,Under-7,H
S151,M,SaudiArabia,SaudiArabia,HighSchool,G-11,A,CS,S,Father,80,80,51,59,Yes,Good,Under-7,H
S152,M,SaudiArabia,USA,HighSchool,G-11,A,Science,S,Father,23,63,71,89,Yes,Good,Under-7,M
S153,F,SaudiArabia,USA,HighSchool,G-11,B,Science,S,Father,100,91,98,40,Yes,Bad,Under-7,H
S154,M,SaudiArabia,USA,HighSchool,G-11,B,Spanish,S,Father,10,51,40,40,No,Bad,Above-7,L
S155,M,SaudiArabia,USA,HighSchool,G-11,B,English,S,Father,70,50,33,41,No,Bad,Above-7,M
S156,M,SaudiArabia,USA,HighSchool,G-11,B,Math,S,Father,70,58,73,91,Yes,Bad,Under-7,H
S157,F,Tunis,USA,HighSchool,G-11,B,French,S,Father,70,50,30,49,Yes,Good,Under-7,M
S158,M,Tunis,Tunis,HighSchool,G-11,B,Science,S,Father,70,50,33,40,No,Good,Under-7,M
S159,M,Tunis,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,22,51,48,10,No,Bad,Above-7,L
S160,F,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,62,68,48,80,Yes,Good,Under-7,M
S161,F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,82,89,58,50,Yes,Good,Under-7,H
S162,M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,72,80,58,66,No,Bad,Under-7,M
S163,F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,70,82,3,73,No,Bad,Under-7,H
S164,F,Jordan,USA,lowerlevel,G-02,B,French,S,Mum,60,82,93,43,No,Bad,Above-7,M
S165,M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,55,72,83,14,Yes,Good,Above-7,M
S166,F,Morocco,Morocco,lowerlevel,G-02,B,French,S,Mum,72,65,73,66,Yes,Good,Under-7,H
S167,M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,51,82,53,43,No,Bad,Under-7,M
S168,M,Tunis,Tunis,lowerlevel,G-02,B,French,S,Mum,80,92,83,43,Yes,Good,Under-7,H
S169,M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,60,52,23,33,Yes,Good,Under-7,H
S170,M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,30,12,29,23,No,Bad,Under-7,M
S171,M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Father,40,62,83,33,Yes,Good,Under-7,H
S172,M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,60,52,23,33,No,Good,Under-7,M
S173,M,Iran,Iran,lowerlevel,G-02,B,French,S,Mum,20,22,53,13,No,Good,Above-7,L
S174,M,Syria,Syria,lowerlevel,G-02,B,French,S,Mum,20,52,23,33,Yes,Good,Above-7,L
S175,F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,50,62,73,43,Yes,Bad,Above-7,M
S176,M,Iran,Iran,lowerlevel,G-02,B,French,S,Father,10,2,13,53,No,Bad,Above-7,L
S177,M,Tunis,Tunis,lowerlevel,G-02,B,French,S,Mum,60,52,23,33,Yes,Bad,Under-7,H
S178,F,USA,USA,lowerlevel,G-02,B,French,S,Mum,15,52,83,11,Yes,Bad,Under-7,M
S179,F,lebanon,lebanon,lowerlevel,G-02,B,French,S,Mum,80,42,33,13,Yes,Bad,Under-7,H
S180,M,lebanon,lebanon,lowerlevel,G-02,B,French,S,Mum,40,51,20,33,No,Bad,Under-7,M
S181,F,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,French,S,Father,60,70,63,93,Yes,Bad,Under-7,H
S182,M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,50,62,13,33,No,Bad,Above-7,L
S183,M,KW,KuwaIT,MiddleSchool,G-08,A,Drawing,S,Mum,85,75,62,53,Yes,Bad,Under-7,H
S184,F,lebanon,lebanon,MiddleSchool,G-08,A,Drawing,S,Father,25,15,32,53,No,Bad,Under-7,M
S185,M,lebanon,lebanon,MiddleSchool,G-08,A,Drawing,S,Mum,10,35,30,13,No,Bad,Above-7,L
S186,M,lebanon,Jordan,MiddleSchool,G-08,A,Drawing,S,Mum,87,65,82,33,Yes,Good,Under-7,H
S187,M,KW,KuwaIT,MiddleSchool,G-08,A,Drawing,S,Mum,85,15,22,53,Yes,Good,Under-7,M
S188,F,KW,KuwaIT,MiddleSchool,G-08,A,Drawing,S,Father,80,71,52,51,Yes,Good,Under-7,M
S189,M,KW,KuwaIT,MiddleSchool,G-08,A,Drawing,S,Mum,75,71,72,53,Yes,Good,Under-7,H
S190,F,KW,KuwaIT,MiddleSchool,G-08,A,Drawing,S,Father,85,66,12,23,No,Bad,Under-7,M
S191,M,KW,KuwaIT,MiddleSchool,G-08,A,Drawing,S,Father,23,25,32,53,No,Bad,Under-7,L
S192,M,KW,KuwaIT,MiddleSchool,G-08,A,Drawing,S,Father,15,25,37,13,Yes,Good,Above-7,L
S193,M,KW,KuwaIT,MiddleSchool,G-08,A,Drawing,S,Mum,95,91,62,53,Yes,Good,Under-7,M
S194,M,Morocco,Morocco,MiddleSchool,G-08,A,Drawing,S,Mum,81,75,62,53,No,Bad,Under-7,M
S195,M,Morocco,Morocco,MiddleSchool,G-08,A,Drawing,S,Mum,53,75,72,23,No,Bad,Under-7,M
S196,M,KW,KuwaIT,MiddleSchool,G-08,A,Drawing,S,Father,15,43,42,33,Yes,Good,Under-7,M
S197,M,KW,KuwaIT,MiddleSchool,G-08,A,Drawing,S,Mum,92,65,62,53,Yes,Good,Under-7,H
S198,M,KW,KuwaIT,MiddleSchool,G-08,A,Drawing,S,Mum,83,75,62,53,No,Bad,Under-7,H
S199,M,Morocco,Morocco,MiddleSchool,G-08,B,Drawing,S,Father,27,15,42,53,No,Bad,Above-7,L
S200,M,KW,KuwaIT,MiddleSchool,G-08,B,Drawing,S,Father,45,95,12,13,No,Bad,Under-7,M
S201,M,KW,KuwaIT,MiddleSchool,G-08,B,Drawing,S,Mum,15,90,52,83,Yes,Bad,Under-7,H
S202,F,lebanon,lebanon,MiddleSchool,G-08,A,Drawing,S,Mum,45,58,52,43,Yes,Good,Under-7,H
S203,M,KW,KuwaIT,MiddleSchool,G-08,B,Drawing,S,Father,25,5,12,33,Yes,Good,Under-7,M
S204,F,KW,KuwaIT,MiddleSchool,G-08,B,Drawing,S,Father,22,51,42,40,Yes,Bad,Under-7,M
S205,M,Jordan,Jordan,MiddleSchool,G-08,B,Drawing,S,Father,29,10,12,24,No,Bad,Above-7,L
S206,F,SaudiArabia,SaudiArabia,MiddleSchool,G-08,B,Drawing,S,Mum,72,51,42,24,Yes,Bad,Above-7,H
S207,M,KW,KuwaIT,MiddleSchool,G-08,B,Drawing,S,Father,67,31,42,14,Yes,Good,Under-7,M
S208,M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,17,21,42,14,Yes,Good,Under-7,M
S209,M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Mum,27,41,49,14,No,Bad,Under-7,M
S210,M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,70,81,39,84,No,Bad,Under-7,M
S211,M,Jordan,SaudiArabia,MiddleSchool,G-08,C,Spanish,S,Mum,27,90,82,14,Yes,Good,Under-7,H
S212,M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,17,61,42,14,No,Bad,Under-7,M
S213,M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Mum,87,81,42,19,Yes,Good,Under-7,H
S214,M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Father,7,61,22,14,No,Bad,Above-7,L
S215,M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,17,50,2,4,No,Bad,Above-7,L
S216,M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,5,21,42,14,No,Good,Above-7,L
S217,M,Iran,Iran,MiddleSchool,G-08,C,Spanish,S,Mum,27,41,32,61,Yes,Bad,Above-7,M
S218,F,Jordan,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,87,88,40,10,Yes,Good,Under-7,M
S219,M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Mum,96,61,42,94,Yes,Bad,Under-7,H
S220,M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Mum,57,51,46,34,Yes,Good,Under-7,M
S221,M,lebanon,lebanon,MiddleSchool,G-08,C,Spanish,S,Father,77,69,41,13,Yes,Good,Under-7,M
S222,M,lebanon,lebanon,MiddleSchool,G-08,C,Spanish,S,Father,80,51,40,24,No,Good,Under-7,M
S223,M,KW,KuwaIT,MiddleSchool,G-08,B,Spanish,S,Father,62,61,82,40,Yes,Bad,Under-7,M
S224,M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Mum,72,83,12,90,Yes,Good,Under-7,H
S225,M,KW,KuwaIT,MiddleSchool,G-08,B,Spanish,S,Mum,87,81,22,70,Yes,Bad,Under-7,H
S226,M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Mum,72,90,12,30,No,Bad,Under-7,M
S227,M,KW,KuwaIT,MiddleSchool,G-08,B,Spanish,S,Father,2,11,62,30,No,Bad,Under-7,L
S228,M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,5,3,2,10,Yes,Good,Under-7,L
S229,M,KW,KuwaIT,HighSchool,G-11,B,Math,S,Mum,73,84,77,81,Yes,Good,Above-7,H
S230,M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,5,17,21,10,No,Bad,Above-7,L
S231,M,Iran,Iran,MiddleSchool,G-08,A,Spanish,S,Mum,51,42,12,29,No,Bad,Above-7,M
S232,M,Syria,Jordan,MiddleSchool,G-08,A,Spanish,S,Father,9,7,21,20,Yes,Good,Above-7,L
S233,M,Syria,Syria,MiddleSchool,G-07,A,CS,F,Father,19,72,15,50,Yes,Good,Above-7,M
S234,F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,32,80,58,46,Yes,Good,Above-7,M
S235,M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Mum,32,60,58,66,Yes,Good,Above-7,M
